CustomerKey,CustomerName,TotalSpent,AvgOrderValue,TotalOrders,CLV_Profit,Num_purchases,lAST_PURCHASE_DATE,Recency
14940,Carmen Rana,8367.55,1045.9437,8,3416.826,5,16-07-2013,196
14939,Cory Kapoor,8367.3,1195.3285,7,3420.9577,4,27-06-2013,215
14207,José Saraiva,8361.3,1393.55,6,3409.3535,3,17-06-2013,225
13584,Isaiah Cox,8361.29,1194.47,7,3417.1954,4,26-07-2013,186
13591,Latasha Alonso,8355.27,928.3633,9,3405.5786,5,10-07-2013,202
14830,Isabella Ward,8346.28,1043.285,8,3403.5109,4,30-05-2013,243
15691,Julian Henderson,8341.29,1191.6128,7,3396.8272,5,02-08-2013,179
14425,Victor Carlson,8332.3,1388.7166,6,3394.7595,3,11-06-2013,231
13576,Tamara Lal,8330.79,1190.1128,7,3398.1024,4,21-06-2013,221
14181,Adriana Chandra,8326.31,1665.262,5,3387.4498,3,28-06-2013,214
15695,Bruce Gomez,8324.24,1040.53,8,3394.0021,4,25-08-2013,156
14183,Robyn Carlson,8321.31,1664.262,5,3392.168,2,27-07-2013,185
14428,Cassie Andersen,8321.31,1664.262,5,3392.168,2,13-07-2013,199
11767,Meagan Madan,8319.51,1188.5014,7,3583.5043,3,12-07-2013,200
14426,Madison Hughes,8319.3,1386.55,6,3390.9098,4,16-06-2013,226
14189,Krista Martin,8317.32,2079.33,4,3385.3821,2,10-06-2013,232
14195,Clinton Blanco,8316.29,1188.0414,7,3389.0254,4,04-08-2013,177
14198,Daisy Romero,8308.59,1186.9414,7,3384.2052,4,07-06-2013,235
13590,Louis Xie,8306.3,1384.3833,6,3382.7717,3,22-07-2013,190
15080,Evelyn Chandra,8305.3,1384.2166,6,3374.2975,4,09-07-2013,203
15118,Nelson Ortega,8301.31,1660.262,5,3376.088,3,20-08-2013,161
14191,Derrick Martin,8301.31,1660.262,5,3376.088,3,15-07-2013,197
15354,Corey Kumar,8297.29,1382.8816,6,3373.5715,3,07-08-2013,174
11112,Crystal Wang,8295.02,1382.5033,6,3568.5954,3,02-09-2013,148
11766,Candace Raman,8280.48,752.7709,11,3529.8431,5,10-07-2013,202
12338,Monica Vance,8265,1033.125,8,3554.091,4,17-08-2013,164
11101,Abby Sai,8262.52,1180.36,7,3543.5403,4,29-06-2013,213
11900,Byron Carlson,8257.01,1179.5728,7,3515.151,4,11-07-2013,201
12003,Audrey Munoz,8256.5,1032.0625,8,3519.5417,4,10-08-2013,171
11451,Ruben Muñoz,8249.49,916.61,9,3539.6717,5,05-06-2013,237
11995,Kelvin Carson,8249.01,1178.43,7,3535.0831,3,10-12-2013,49
11000,Jon Yang,8248.99,1031.1237,8,3513.6905,5,03-05-2013,270
11058,Marc Diaz,8248.02,1374.67,6,3513.0833,3,04-06-2013,238
11901,Stacy Alvarez,8248.01,1178.2871,7,3534.457,4,09-11-2013,80
11986,Max Alvarez,8245.23,749.5663,11,3532.7167,6,27-08-2013,154
11109,Ruben Kapoor,8245.01,1030.6262,8,3538.0173,5,24-06-2013,218
11120,Beth Jiménez,8242.49,824.249,10,3539.9996,5,19-09-2013,131
11446,Bethany Chander,8237.01,1176.7157,7,3502.631,4,21-06-2013,221
11443,Grace Griffin,8235,1029.375,8,3513.931,5,01-10-2013,119
11762,Randall Gomez,8228.01,1175.43,7,3500.557,4,06-07-2013,206
11456,Jon Gao,8224.46,747.6781,11,3524.0028,6,31-05-2013,242
11054,Deanna Munoz,8223.02,1370.5033,6,3501.7215,3,30-05-2013,243
11894,Ann Gonzalez,8223,913.6666,9,3523.5107,4,06-07-2013,206
11343,Arthur Carlson,8221.99,913.5544,9,3499.1006,5,24-07-2013,188
11099,Adam Ross,8215.99,912.8877,9,3475.9406,4,01-07-2013,211
11751,Victoria Gonzales,8215.02,1369.17,6,3492.4254,4,17-07-2013,195
11904,Kaylee Cook,8214.5,1173.5,7,3496.388,4,01-07-2013,211
12039,Ricardo Nath,8213,912.5555,9,3521.5389,5,06-08-2013,175
11977,Bonnie Jai,8212.5,1026.5625,8,3512.2278,4,15-08-2013,166
11457,Jaime Gutierrez,8211.48,821.148,10,3479.4113,5,01-06-2013,241
11007,Marco Mehta,8211,1026.375,8,3515.577,5,19-03-2013,315
11056,Michele Nath,8207.5,1025.9375,8,3492.4277,5,31-05-2013,242
11918,Kaylee Hill,8204.99,1025.6237,8,3503.9665,5,25-11-2013,64
11080,Damien Chander,8204.02,1172.0028,7,3491.8333,3,23-06-2013,219
12010,Max Serrano,8203.5,1025.4375,8,3491.5077,4,06-08-2013,175
11897,Orlando Ashe,8203.02,1367.17,6,3489.2015,3,14-10-2013,106
11004,Elizabeth Johnson,8196.01,1366.0016,6,3501.9051,3,01-05-2013,272
11147,Ernest Wu,8195.5,1170.7857,7,3506.2958,3,16-10-2013,104
12009,Ann Martinez,8195.5,1170.7857,7,3505.874,4,13-08-2013,168
11072,Casey Luo,8194,1170.5714,7,3479.2668,3,15-06-2013,227
11341,Randy Zeng,8192,1024,8,3500.1229,4,19-07-2013,193
11899,Brenda Perez,8189.5,1169.9285,7,3485.448,4,08-07-2013,204
11117,April Deng,8184.99,1023.1237,8,3491.4465,5,25-06-2013,217
11452,Erika Rubio,8183.04,1636.608,5,3499.2241,2,12-06-2013,230
12000,Ashley Russell,8183,1022.875,8,3498.0489,4,15-08-2013,166
11103,Cassie Chande,8182.5,1022.8125,8,3481.0659,5,06-06-2013,236
11093,Aimee He,8180,1168.5714,7,3496.171,4,08-06-2013,234
11898,Angela Henderson,8179.03,1363.1716,6,3491.2756,4,23-07-2013,189
11916,Joe Rana,8178.51,1168.3585,7,3495.6601,3,21-08-2013,160
11453,Stanley Malhotra,8176.98,1362.83,6,3494.7023,3,19-06-2013,223
11964,Sharon Salavaria,8173.53,1362.255,6,3492.1208,3,09-08-2013,172
11450,Brett Mehta,8173.26,908.14,9,3492.3735,5,17-06-2013,225
11104,Edgar Sara,8173.03,1362.1716,6,3470.4278,3,15-06-2013,227
11969,Randy Xu,8173.02,1362.17,6,3487.5133,4,16-08-2013,165
11100,Latasha Navarro,8172.51,1167.5014,7,3491.904,3,07-08-2013,174
11919,Warren Andersen,8171.52,1021.44,8,3495.5725,4,21-12-2013,38
11107,Bianca Lin,8171.01,1361.835,6,3490.9651,3,21-06-2013,221
11994,Leah Hu,8169.03,1633.806,5,3489.7256,2,23-08-2013,158
11077,Leah Ye,8169.03,1633.806,5,3489.7256,2,12-06-2013,230
11952,Dorothy Robinson,8169,1167,7,3468.3268,3,07-08-2013,174
11055,Gilbert Raje,8168.01,1021.0012,8,3489.087,4,07-06-2013,235
11914,Meagan Rana,8165.96,1020.745,8,3492.0919,5,23-08-2013,158
11472,Kenneth Kumar,8165.82,1360.97,6,3483.0061,3,26-10-2013,94
11070,Willie Raji,8165.55,816.555,10,3487.1252,5,26-06-2013,216
11990,Joanna Vazquez,8164.01,1166.2871,7,3486.583,4,22-08-2013,159
11754,Janet Ortega,8163.53,1632.706,5,3481.5726,3,30-07-2013,182
11333,Emily Miller,8163.31,1360.5516,6,3481.4349,3,14-07-2013,198
11337,Jerome Romero,8162,1020.25,8,3463.9447,4,19-07-2013,193
11394,George McDonald,8161.97,1165.9957,7,3480.596,4,02-08-2013,179
11381,Meredith Raman,8161.02,1632.204,5,3480.0014,2,18-08-2013,163
11076,Blake Anderson,8159.04,2039.76,4,3478.7619,2,21-06-2013,221
11465,Louis Luo,8158.04,2039.51,4,3456.7559,2,13-07-2013,199
11491,Andre Perez,8158.01,1165.43,7,3482.827,4,07-09-2013,143
11095,Chad Kumar,8158.01,1165.43,7,3465.7352,4,25-06-2013,217
11920,Adrienne Gomez,8156.32,1165.1885,7,3481.7691,4,11-12-2013,48
11905,Isaiah Ramirez,8155.98,1165.14,7,3481.5563,4,06-07-2013,206
11334,Nicole Brown,8154.02,1359.0033,6,3475.6193,3,27-07-2013,185
11967,Latasha Munoz,8153.02,1358.8366,6,3480.4315,3,07-08-2013,174
11060,Jon Zhou,8153.02,1358.8366,6,3474.9933,4,25-06-2013,217
11906,Gabriella Sanders,8151,1164.4285,7,3478.4388,5,12-07-2013,200
11761,Edgar Mehta,8149.49,1018.6862,8,3473.5117,5,29-07-2013,183
11895,Dustin Chander,8149.04,1629.808,5,3477.2119,2,25-07-2013,187
11750,Latoya She,8148.02,1358.0033,6,3476.1515,3,01-10-2013,119
12002,Adriana Lopez,8145.33,1357.555,6,3474.8894,3,03-08-2013,178
11482,Adrienne Torres,8143.03,1628.606,5,3473.4496,2,10-09-2013,140
11765,Marc Torres,8143.03,1628.606,5,3456.3578,3,26-07-2013,186
11915,Philip Carlson,8143,1017.875,8,3473.4307,4,24-08-2013,157
11455,Ross Sanz,8142.03,1628.406,5,3447.8836,3,31-05-2013,242
11459,Tasha Deng,8141.33,1628.266,5,3467.6754,2,18-06-2013,224
11989,Kara Anand,8139.53,1627.906,5,3475.5469,3,06-08-2013,175
11003,Christy Zhu,8139.29,904.3655,9,3467.1264,4,10-05-2013,263
11768,Clayton Nara,8139.04,2034.76,4,3466.2419,2,14-07-2013,198
11460,Melvin Chande,8137.52,1356.2533,6,3469.5785,4,10-06-2013,232
12337,Dustin Goldstein,8137.01,1162.43,7,3457.851,4,08-08-2013,173
11111,Meredith Gutierrez,8137,1017.125,8,3465.6929,4,22-08-2013,159
11444,Tina Mehta,8136.02,1627.204,5,3469.0614,3,02-06-2013,240
11907,Sarah Garcia,8135.33,1627.066,5,3446.8276,2,20-07-2013,192
11011,Curtis Lu,8133.04,2033.26,4,3445.3941,2,19-03-2013,315
11448,Kyle Patterson,8132.01,1161.7157,7,3445.8992,4,21-06-2013,221
11993,Rosa Wang,8131.32,1161.6171,7,3470.4073,4,23-12-2013,36
11052,Heidi Lopez,8131.32,1161.6171,7,3470.4073,4,27-05-2013,246
11449,Alvin Hu,8130.32,1161.4742,7,3461.9331,4,24-06-2013,218
11764,Jessie Ramos,8129.02,1354.8366,6,3464.2575,4,07-07-2013,205
11124,Ross Jordan,8129.02,1354.8366,6,3464.2575,3,18-06-2013,224
11061,Todd Gao,8129.02,1354.8366,6,3464.6793,4,14-06-2013,228
11464,Alejandro Huang,8128.51,1161.2157,7,3468.6482,4,01-07-2013,211
11991,Frederick Martinez,8128.02,1354.67,6,3464.0533,4,19-12-2013,40
11489,Deborah Goel,8127.51,1161.0728,7,3460.174,4,28-09-2013,122
11108,Kari Alvarez,8124.04,1624.808,5,3465.8501,2,23-06-2013,219
11992,Tonya Chande,8123.03,1624.606,5,3452.6596,2,11-12-2013,48
11893,Orlando Carlson,8123.03,1624.606,5,3460.9296,3,23-07-2013,189
11917,Roy Sanz,8121.33,1353.555,6,3459.4436,4,19-08-2013,162
11005,Julio Ruiz,8121.33,1353.555,6,3459.8654,4,02-05-2013,271
11344,Jessie Jimenez,8119.81,1159.9728,7,3458.492,4,23-07-2013,189
11892,Julio Ortega,8119.03,1623.806,5,3453.7156,3,22-07-2013,190
11006,Janet Alvarez,8119.03,1623.806,5,3453.7156,3,14-05-2013,259
11896,Frank Carlson,8117.97,1352.995,6,3457.7621,3,11-07-2013,201
11462,Laura Lin,8116.33,1623.266,5,3456.7354,2,25-07-2013,187
12004,Jarrod Suri,8114.04,2028.51,4,3455.3019,2,08-08-2013,173
11398,Colin Nath,8114.04,2028.51,4,3454.8801,2,02-08-2013,179
11002,Ruben Torres,8114.04,2028.51,4,3454.8801,2,23-02-2013,339
11910,Jaclyn Zheng,8113.03,1622.606,5,3454.6696,3,03-08-2013,178
12001,Shannon Yang,8113.01,1159.0014,7,3455.3852,4,14-08-2013,167
11092,Cheryl Diaz,8110.02,1622.004,5,3452.7854,2,21-06-2013,221
11903,Kate Raji,8108.04,2027.01,4,3434.4541,2,13-07-2013,199
11008,Rob Verhoff,8106.31,1158.0442,7,3454.751,4,02-03-2013,332
11909,Nichole She,8105.31,1157.9014,7,3454.125,4,01-08-2013,180
11069,Carolyn Navarro,8104.05,2701.35,3,3444.3382,1,04-06-2013,238
11097,Edwin Nara,8099.03,1619.806,5,3450.1938,2,24-07-2013,188
11445,Kari Kim,8098.03,1619.606,5,3444.8578,2,28-06-2013,214
11105,Candace Fernandez,8095.99,1619.198,5,3443.5808,3,05-06-2013,237
11912,Rachael Sai,8095.32,1349.22,6,3443.5831,4,22-11-2013,67
11110,Curtis Yang,8093.03,1618.606,5,3441.7278,3,20-08-2013,161
12302,Kevin Coleman,8091.8896,674.3241,12,3415.1821,5,26-12-2013,33
11009,Shannon Carlson,8091.33,1618.266,5,3445.3736,2,09-05-2013,264
11488,Jermaine Lopez,8090.33,1618.066,5,3436.8994,2,30-08-2013,151
11461,Victor Jimenez,8089.04,2022.26,4,3443.9401,2,21-07-2013,191
11454,Melinda Navarro,8089.04,2022.26,4,3443.9401,2,18-06-2013,224
11010,Jacquelyn Suarez,8088.04,2022.01,4,3435.0441,2,23-05-2013,250
11057,Carl Andersen,8088.04,2022.01,4,3439.0259,2,21-05-2013,252
11151,Melinda Gill,8087.31,1347.885,6,3439.2971,3,20-10-2013,100
11976,Audrey Ramos,8087.31,1347.885,6,3439.2971,3,25-08-2013,156
11908,Rafael Tang,8079.05,2693.0166,3,3433.3982,1,23-08-2013,158
11968,Kelsey Becker,8079.05,2693.0166,3,3432.9764,1,17-08-2013,164
11106,Jessie Liu,8079.05,2693.0166,3,3432.9764,1,15-06-2013,227
11756,Linda Ortega,8078.02,1346.3366,6,3433.4815,3,25-10-2013,95
11353,Carrie Ortega,8078.02,1346.3366,6,3437.0415,3,08-08-2013,173
11988,Kathryn Chapman,8078.02,1346.3366,6,3433.4815,3,06-08-2013,175
11447,Jennifer Roberts,8078.02,1346.3366,6,3433.4815,3,31-05-2013,242
11351,Anne Ramos,8068.03,1613.606,5,3430.7878,3,28-08-2013,153
11963,Antonio Patterson,8068.03,1613.606,5,3430.7878,3,23-08-2013,158
11075,Felicia Jimenez,8068.03,1613.606,5,3430.7878,3,24-06-2013,218
12291,Johnathan Suri,8067.8996,733.4454,11,3383.9284,6,20-11-2013,69
11096,Andrés Anand,8063.04,2015.76,4,3424.1041,2,30-07-2013,182
11759,Dawn Nath,8054.05,2684.6833,3,3422.0364,1,09-07-2013,203
12298,Crystal Zeng,8053.4096,805.3409,10,3379.1459,5,11-12-2013,48
12297,Felicia Blanco,8022.5782,729.3252,11,3380.6349,5,09-11-2013,80
12314,Jill Suarez,7997.9196,999.7399,8,3385.5853,3,28-12-2013,31
12130,Suzanne Zhou,7987.9096,798.7909,10,3350.0907,3,14-11-2013,75
12330,Preston Raman,7933.4096,793.3409,10,3345.2019,4,24-12-2013,35
13259,Allen Garcia,7853.49,560.9635,14,3215.9137,6,18-11-2013,71
11240,Anne Hernandez,7586.23,583.5561,13,3267.988,4,13-05-2013,260
11238,Mayra Prasad,7542.77,838.0855,9,3241.5104,4,30-04-2013,273
11239,Latoya Goel,7511.55,682.8681,11,3226.6766,5,28-05-2013,245
13256,Abby Subram,7494.8796,576.5292,13,3218.717,4,25-12-2013,34
13255,Lance Blanco,7393.0582,616.0881,12,3158.6746,4,02-12-2013,57
12657,Audrey Blanco,7384.0982,923.0122,8,3153.0658,4,23-12-2013,36
16589,Martin Suri,7343.69,1223.9483,6,3003.9374,3,17-09-2013,133
13406,Craig Jiménez,7300.55,811.1722,9,3013.6804,4,17-11-2013,72
13579,Alan Chen,7295.04,729.504,10,3006.6711,4,18-11-2013,71
17221,Ricky Navarro,7292.31,560.9469,13,2972.5015,7,19-08-2013,162
13580,Carol Xu,7285.57,1040.7957,7,3004.303,2,27-12-2013,32
17114,Jarrod Mehta,7275.36,808.3733,9,2954.0427,5,09-11-2013,80
15093,Johnny Moyer,7265.65,1037.95,7,2908.5332,4,10-11-2013,79
13264,Melanie Sanchez,7265.56,908.195,8,2991.7767,4,07-10-2013,113
13265,Luke Adams,7259.56,907.445,8,2988.0207,4,05-11-2013,84
15095,Jodi Shan,7255.66,1209.2766,6,2897.9913,4,09-12-2013,50
17184,Eddie Dominguez,7253.35,906.6687,8,2947.3845,4,17-08-2013,164
15623,Molly Madan,7246.87,1035.2671,7,2943.3281,3,23-09-2013,127
16263,Eduardo Robinson,7243.36,1034.7657,7,2924.039,5,19-09-2013,131
16823,Stacy Ruiz,7242.35,905.2937,8,2944.7867,4,24-09-2013,126
13260,James Flores,7239.56,904.945,8,2971.9407,4,13-08-2013,168
16196,Kurt Raheem,7237.36,1033.9085,7,2915.9948,4,27-08-2013,154
17198,Cheryl Jiménez,7233.36,1033.3371,7,2915.0748,3,21-08-2013,160
15357,Craig Navarro,7232.37,1033.1957,7,2934.251,4,15-07-2013,197
16594,Andrew Jones,7231.37,1033.0528,7,2933.625,4,02-09-2013,148
15085,Kristin Jai,7229.37,1204.895,6,2916.8653,3,13-07-2013,199
19031,Regina Perez,7226.38,1204.3966,6,2926.9413,3,11-12-2013,48
16207,Jordan Shan,7226.37,1032.3385,7,2914.9872,4,02-09-2013,148
15676,Todd Wang,7224.68,1032.0971,7,2929.4371,4,04-10-2013,116
15678,Susan Zhou,7223.34,722.334,10,2904.3863,5,07-10-2013,113
16821,Mary Carter,7221.35,802.3722,9,2931.6406,4,19-08-2013,162
13792,Charles Taylor,7216.08,1030.8685,7,2964.1246,4,22-12-2013,37
15116,Mackenzie Ramirez,7212.86,1030.4085,7,2922.766,3,09-07-2013,203
13794,Mallory Martin,7212.06,801.34,9,2987.2762,4,12-12-2013,47
17214,Damien Liu,7211.39,1442.278,5,2921.1176,2,31-10-2013,89
14791,Ashlee Deng,7210.85,801.2055,9,2925.0676,4,22-06-2013,220
15675,Jay Alonso,7206.38,1029.4828,7,2918.7095,3,14-08-2013,167
16831,Theodore Vazquez,7206.37,1029.4814,7,2922.2632,4,17-10-2013,103
16827,Jeffery Chen,7205.36,900.67,8,2900.2509,4,22-10-2013,98
16565,Corey Anand,7203.66,900.4575,8,2920.5667,4,05-11-2013,84
16206,Cindy Lewis,7203.35,900.4187,8,2916.8127,5,25-08-2013,156
15677,Alyssa Bradley,7200.86,900.1075,8,2914.5257,4,16-10-2013,104
13261,Lindsey Andersen,7200.58,1200.0966,6,2955.3875,3,30-09-2013,120
18166,Julian Wood,7200.37,1028.6242,7,2897.1272,4,11-12-2013,48
13606,Drew Sharma,7195.58,1199.2633,6,2947.9693,3,27-12-2013,32
16585,Vincent Sun,7192.39,1438.478,5,2913.5118,2,21-09-2013,129
11414,Ian Richardson,7191.77,719.177,10,3113.1072,4,15-09-2013,135
11413,Megan Stewart,7189.75,653.6136,11,3109.8667,5,05-09-2013,145
18173,Brent Zhang,7189.35,798.8166,9,2904.4886,4,05-12-2013,54
15685,Robin Vazquez,7188.37,1198.0616,6,2907.4353,3,22-07-2013,190
17781,Jake She,7187.37,1197.895,6,2902.5211,3,31-10-2013,89
15932,Tabitha Jimenez,7186.39,1437.278,5,2906.1958,2,21-08-2013,160
16829,Wayne Lal,7185.37,1026.4814,7,2905.5572,4,04-10-2013,116
16828,Logan Mitchell,7182.66,897.8325,8,2903.8607,5,16-10-2013,104
17209,Jacqueline James,7182.4,1795.6,4,2902.9699,2,06-08-2013,175
16822,Marshall Lin,7176.38,1196.0633,6,2899.9295,3,16-09-2013,134
17183,Shane Sanchez,7175.86,896.9825,8,2903.1639,4,16-08-2013,165
11244,Alexis Coleman,7175.75,597.9791,12,3124.4586,5,19-07-2013,193
13693,Dominic Gonzalez,7171.58,1195.2633,6,2957.6476,4,05-12-2013,54
16261,Diana Navarro,7170.87,1024.41,7,2900.0402,4,12-11-2013,77
15625,Clinton Alvarez,7169.39,1792.3475,4,2894.8257,2,26-07-2013,186
11243,Robin Alvarez,7164.25,597.0208,12,3103.7278,4,09-06-2013,233
16204,Terrence Anand,7162.39,1432.478,5,2890.4436,3,03-11-2013,86
13690,Claudia Gao,7162.08,1193.68,6,2951.7006,4,06-11-2013,83
16567,Erick Lopez,7159.7,1431.94,5,2893.0479,3,04-11-2013,85
13765,Jaime Shen,7152.09,1430.418,5,2949.7351,2,28-12-2013,31
13777,Manuel Perez,7147.07,1021.01,7,2943.0325,4,27-12-2013,32
16830,Alexandra Hall,7138.68,1189.78,6,2879.8893,3,23-08-2013,158
13784,Spencer Griffin,7138.1,1784.525,4,2921.1814,2,23-12-2013,36
11247,Claudia Zhou,7131.51,594.2925,12,3089.5266,4,17-08-2013,164
16598,Kate Rai,7131.4,1782.85,4,2875.3321,2,26-09-2013,124
11250,Shannon Liu,7116.25,646.9318,11,3091.4998,4,06-08-2013,175
15094,Wendy Ortega,7108.8725,1015.5532,7,2889.2046,4,17-11-2013,72
12037,Patricia Chapman,7107.1,888.3875,8,3114.4562,5,09-09-2013,141
14203,Seth Rodriguez,7081.4625,786.8291,9,2873.6299,5,31-08-2013,150
11422,Dustin Deng,7075.27,707.527,10,3065.8464,4,03-11-2013,86
11548,Raymond Sanchez,7068.27,785.3633,9,3070.3525,4,11-11-2013,78
15082,Kelvin Lal,7068.0825,883.5103,8,2935.8893,4,04-06-2013,238
16587,Zachary Martinez,7063.5625,706.3562,10,2905.4155,5,27-08-2013,154
11996,Veronica Srini,7058.7,641.7,11,3084.1577,5,02-08-2013,179
11485,Donald Chandra,7048.3,1006.9,7,3072.9374,4,12-09-2013,138
18177,Reginald Suarez,7043.5625,782.618,9,2896.4555,5,09-12-2013,50
11999,Johnny Shan,7043.27,782.5855,9,3069.7885,5,02-08-2013,179
14976,Randy Hu,7040.6125,1408.1225,5,2914.405,2,09-06-2013,233
11997,Kristina Kapoor,7029.78,1004.2542,7,3040.6921,4,14-08-2013,167
15626,Eduardo White,7029.0725,878.634,8,2887.3848,4,07-07-2013,205
12007,Shannon Sun,7023.78,877.9725,8,3061.876,4,21-09-2013,129
11549,Crystal Liang,7023.77,780.4188,9,3042.0737,5,12-12-2013,47
13012,Krystal Hu,7017.4396,779.7155,9,3044.4413,4,18-10-2013,102
14773,Noah Ross,7015.6125,1403.1225,5,2903.0432,2,29-06-2013,213
17825,Clayton Li,7015.5525,779.5058,9,2878.9213,4,13-12-2013,46
11496,Gary Ortega,7013.79,1001.97,7,3032.2663,5,05-11-2013,84
14790,Terry Tang,7004.5725,875.5715,8,2896.1321,4,17-06-2013,225
16298,Adrienne Sanz,7000.8725,777.8747,9,2885.9676,4,01-10-2013,119
16603,Scott Seely,7000.5525,777.8391,9,2885.7673,4,12-08-2013,169
15637,Russell Sharma,6999.5725,874.9465,8,2869.646,5,08-10-2013,112
15084,Adrienne Serrano,6999.0925,999.8703,7,2888.4134,4,27-07-2013,185
14424,Stefanie Raman,6998.8625,999.8375,7,2841.7183,3,25-09-2013,125
